date,sku,product,quantity_sold,current_stock,price,holiday,season,weather,day_of_week,month,is_weekend,lag_7,rolling_mean_7
2026-03-24,BREAD-WHT,White Bread,74,150,34.0,0,2,Clear,1,3,0,81.0,77.0
2026-03-25,BREAD-WHT,White Bread,84,150,34.0,0,2,Clear,2,3,0,81.0,76.0
2026-03-26,BREAD-WHT,White Bread,76,150,34.0,0,2,Clear,3,3,0,87.0,76.42857142857143
2026-03-27,BREAD-WHT,White Bread,79,150,34.0,0,2,Clear,4,3,0,67.0,74.85714285714286
2026-03-28,BREAD-WHT,White Bread,95,150,34.0,0,2,Clear,5,3,1,81.0,76.57142857142857
2026-03-29,BREAD-WHT,White Bread,97,150,34.0,0,2,Clear,6,3,1,79.0,78.57142857142857
2026-03-30,BREAD-WHT,White Bread,78,150,34.0,0,2,Clear,0,3,0,63.0,81.14285714285714
2026-03-31,BREAD-WHT,White Bread,88,150,34.0,0,2,Clear,1,3,0,74.0,83.28571428571429
2026-04-01,BREAD-WHT,White Bread,94,150,34.0,1,2,Clear,2,4,0,84.0,85.28571428571429
2026-04-02,BREAD-WHT,White Bread,73,150,34.0,0,2,Clear,3,4,0,76.0,86.71428571428571
2026-04-03,BREAD-WHT,White Bread,75,150,34.0,0,2,Clear,4,4,0,79.0,86.28571428571429
2026-04-04,BREAD-WHT,White Bread,79,150,34.0,0,2,Clear,5,4,1,95.0,85.71428571428571
2026-04-05,BREAD-WHT,White Bread,84,150,34.0,0,2,Clear,6,4,1,97.0,83.42857142857143
2026-04-06,BREAD-WHT,White Bread,79,150,34.0,0,2,Clear,0,4,0,78.0,81.57142857142857
2026-04-07,BREAD-WHT,White Bread,88,150,34.0,0,2,Clear,1,4,0,88.0,81.71428571428571
2026-04-08,BREAD-WHT,White Bread,95,150,34.0,0,2,Clear,2,4,0,94.0,81.71428571428571
2026-04-09,BREAD-WHT,White Bread,74,150,34.0,0,2,Clear,3,4,0,73.0,81.85714285714286
2026-04-10,BREAD-WHT,White Bread,88,150,34.0,0,2,Clear,4,4,0,75.0,82.0
2026-04-11,BREAD-WHT,White Bread,89,150,34.0,0,2,Clear,5,4,1,79.0,83.85714285714286
2026-04-12,BREAD-WHT,White Bread,101,150,34.0,0,2,Clear,6,4,1,84.0,85.28571428571429
2026-04-13,BREAD-WHT,White Bread,87,150,34.0,0,2,Clear,0,4,0,79.0,87.71428571428571
2026-04-14,BREAD-WHT,White Bread,76,150,34.0,0,2,Clear,1,4,0,88.0,88.85714285714286
2026-04-15,BREAD-WHT,White Bread,113,150,34.0,1,2,Clear,2,4,0,95.0,87.14285714285714
2026-04-16,BREAD-WHT,White Bread,87,150,34.0,0,2,Clear,3,4,0,74.0,89.71428571428571
2026-04-17,BREAD-WHT,White Bread,89,150,34.0,0,2,Clear,4,4,0,88.0,91.57142857142857
2026-04-18,BREAD-WHT,White Bread,97,150,34.0,0,2,Clear,5,4,1,89.0,91.71428571428571
2026-04-19,BREAD-WHT,White Bread,101,150,34.0,0,2,Clear,6,4,1,101.0,92.85714285714286
2026-04-20,BREAD-WHT,White Bread,99,150,34.0,0,2,Clear,0,4,0,87.0,92.85714285714286
2026-04-21,BREAD-WHT,White Bread,95,150,34.0,0,2,Clear,1,4,0,76.0,94.57142857142857
2026-04-22,BREAD-WHT,White Bread,100,150,34.0,0,2,Clear,2,4,0,113.0,97.28571428571429
2026-04-23,BREAD-WHT,White Bread,101,150,34.0,0,2,Clear,3,4,0,87.0,95.42857142857143
2026-04-24,BREAD-WHT,White Bread,109,150,34.0,0,2,Clear,4,4,0,89.0,97.42857142857143
2026-04-25,BREAD-WHT,White Bread,110,150,34.0,0,2,Clear,5,4,1,97.0,100.28571428571429
2026-04-26,BREAD-WHT,White Bread,103,150,34.0,0,2,Clear,6,4,1,101.0,102.14285714285714
2026-04-27,BREAD-WHT,White Bread,110,150,34.0,0,2,Clear,0,4,0,99.0,102.42857142857143
2026-04-28,BREAD-WHT,White Bread,101,150,34.0,0,2,Clear,1,4,0,95.0,104.0
2026-04-29,BREAD-WHT,White Bread,111,150,34.0,0,2,Clear,2,4,0,100.0,104.85714285714286
2026-04-30,BREAD-WHT,White Bread,107,150,34.0,0,2,Clear,3,4,0,101.0,106.42857142857143
2026-05-01,BREAD-WHT,White Bread,122,150,34.0,1,2,Clear,4,5,0,109.0,107.28571428571429
2026-05-02,BREAD-WHT,White Bread,120,150,34.0,0,2,Clear,5,5,1,110.0,109.14285714285714
2026-05-03,BREAD-WHT,White Bread,132,150,34.0,0,2,Clear,6,5,1,103.0,110.57142857142857
2026-05-04,BREAD-WHT,White Bread,120,150,34.0,0,2,Clear,0,5,0,110.0,114.71428571428571
2026-05-05,BREAD-WHT,White Bread,106,150,34.0,0,2,Clear,1,5,0,101.0,116.14285714285714
2026-05-06,BREAD-WHT,White Bread,107,150,34.0,0,2,Clear,2,5,0,111.0,116.85714285714286
2026-05-07,BREAD-WHT,White Bread,113,150,34.0,0,2,Clear,3,5,0,107.0,116.28571428571429
2026-05-08,BREAD-WHT,White Bread,99,150,34.0,0,2,Clear,4,5,0,122.0,117.14285714285714
2026-05-09,BREAD-WHT,White Bread,120,150,34.0,0,2,Clear,5,5,1,120.0,113.85714285714286
2026-05-10,BREAD-WHT,White Bread,117,150,34.0,0,2,Clear,6,5,1,132.0,113.85714285714286
2026-05-11,BREAD-WHT,White Bread,107,150,34.0,0,2,Clear,0,5,0,120.0,111.71428571428571
2026-05-12,BREAD-WHT,White Bread,98,150,34.0,0,2,Clear,1,5,0,106.0,109.85714285714286
2026-05-13,BREAD-WHT,White Bread,92,150,34.0,0,2,Clear,2,5,0,107.0,108.71428571428571
2026-05-14,BREAD-WHT,White Bread,88,150,34.0,0,2,Clear,3,5,0,113.0,106.57142857142857
2026-05-15,BREAD-WHT,White Bread,113,150,34.0,1,2,Clear,4,5,0,99.0,103.0
2026-05-16,BREAD-WHT,White Bread,110,150,34.0,0,2,Clear,5,5,1,120.0,105.0
2026-05-17,BREAD-WHT,White Bread,110,150,34.0,0,2,Clear,6,5,1,117.0,103.57142857142857
2026-05-18,BREAD-WHT,White Bread,113,150,34.0,0,2,Clear,0,5,0,107.0,102.57142857142857
2026-05-19,BREAD-WHT,White Bread,106,150,34.0,0,2,Clear,1,5,0,98.0,103.42857142857143
2026-05-20,BREAD-WHT,White Bread,91,150,34.0,0,2,Clear,2,5,0,92.0,104.57142857142857
2026-05-21,BREAD-WHT,White Bread,99,150,34.0,0,2,Clear,3,5,0,88.0,104.42857142857143
2026-05-22,BREAD-WHT,White Bread,93,150,34.0,0,2,Clear,4,5,0,113.0,106.0
2026-05-23,BREAD-WHT,White Bread,104,150,34.0,0,2,Clear,5,5,1,110.0,103.14285714285714
2026-05-24,BREAD-WHT,White Bread,106,150,34.0,0,2,Clear,6,5,1,110.0,102.28571428571429
2026-05-25,BREAD-WHT,White Bread,97,150,34.0,0,2,Clear,0,5,0,113.0,101.71428571428571
2026-05-26,BREAD-WHT,White Bread,89,150,34.0,0,2,Clear,1,5,0,106.0,99.42857142857143
2026-05-27,BREAD-WHT,White Bread,98,150,34.0,0,2,Clear,2,5,0,91.0,97.0
2026-05-28,BREAD-WHT,White Bread,82,150,34.0,0,2,Clear,3,5,0,99.0,98.0
2026-05-29,BREAD-WHT,White Bread,89,150,34.0,0,2,Clear,4,5,0,93.0,95.57142857142857
2026-05-30,BREAD-WHT,White Bread,116,150,34.0,0,2,Clear,5,5,1,104.0,95.0
2026-05-31,BREAD-WHT,White Bread,99,150,34.0,0,2,Clear,6,5,1,106.0,96.71428571428571
2026-06-01,BREAD-WHT,White Bread,111,150,34.0,1,3,Rainy,0,6,0,97.0,95.71428571428571
2026-06-02,BREAD-WHT,White Bread,86,150,34.0,0,3,Rainy,1,6,0,89.0,97.71428571428571
2026-06-03,BREAD-WHT,White Bread,88,150,34.0,0,3,Rainy,2,6,0,98.0,97.28571428571429
2026-06-04,BREAD-WHT,White Bread,83,150,34.0,0,3,Rainy,3,6,0,82.0,95.85714285714286
2026-06-05,BREAD-WHT,White Bread,82,150,34.0,0,3,Rainy,4,6,0,89.0,96.0
2026-06-06,BREAD-WHT,White Bread,87,150,34.0,0,3,Rainy,5,6,1,116.0,95.0
2026-06-07,BREAD-WHT,White Bread,95,150,34.0,0,3,Rainy,6,6,1,99.0,90.85714285714286
2026-06-08,BREAD-WHT,White Bread,76,150,34.0,0,3,Rainy,0,6,0,111.0,90.28571428571429
2026-06-09,BREAD-WHT,White Bread,86,150,34.0,0,3,Rainy,1,6,0,86.0,85.28571428571429
2026-06-10,BREAD-WHT,White Bread,89,150,34.0,0,3,Rainy,2,6,0,88.0,85.28571428571429
2026-06-11,BREAD-WHT,White Bread,84,150,34.0,0,3,Rainy,3,6,0,83.0,85.42857142857143
2026-06-12,BREAD-WHT,White Bread,79,150,34.0,0,3,Rainy,4,6,0,82.0,85.57142857142857
2026-06-13,BREAD-WHT,White Bread,94,150,34.0,0,3,Rainy,5,6,1,87.0,85.14285714285714
2026-06-14,BREAD-WHT,White Bread,89,150,34.0,0,3,Rainy,6,6,1,95.0,86.14285714285714
2026-06-15,BREAD-WHT,White Bread,103,150,34.0,1,3,Rainy,0,6,0,76.0,85.28571428571429
2026-06-16,BREAD-WHT,White Bread,69,150,34.0,0,3,Rainy,1,6,0,86.0,89.14285714285714
2026-06-17,BREAD-WHT,White Bread,80,150,34.0,0,3,Rainy,2,6,0,89.0,86.71428571428571
2026-06-18,BREAD-WHT,White Bread,69,150,34.0,0,3,Rainy,3,6,0,84.0,85.42857142857143
2026-06-19,BREAD-WHT,White Bread,73,150,34.0,0,3,Rainy,4,6,0,79.0,83.28571428571429
2026-06-20,BREAD-WHT,White Bread,104,150,34.0,0,3,Rainy,5,6,1,94.0,82.42857142857143
2026-06-21,BREAD-WHT,White Bread,102,150,34.0,0,3,Rainy,6,6,1,89.0,83.85714285714286
2026-06-22,BREAD-WHT,White Bread,81,150,34.0,0,3,Rainy,0,6,0,103.0,85.71428571428571
2026-06-23,BREAD-WHT,White Bread,76,150,34.0,0,3,Rainy,1,6,0,69.0,82.57142857142857
2026-06-24,BREAD-WHT,White Bread,67,150,34.0,0,3,Rainy,2,6,0,80.0,83.57142857142857
2026-06-25,BREAD-WHT,White Bread,85,150,34.0,0,3,Rainy,3,6,0,69.0,81.71428571428571
2026-06-26,BREAD-WHT,White Bread,107,150,34.0,0,3,Rainy,4,6,0,73.0,84.0
2026-06-27,BREAD-WHT,White Bread,105,150,34.0,0,3,Rainy,5,6,1,104.0,88.85714285714286
2026-06-28,BREAD-WHT,White Bread,99,150,34.0,0,3,Rainy,6,6,1,102.0,89.0
2026-06-29,BREAD-WHT,White Bread,97,150,34.0,0,3,Rainy,0,6,0,81.0,88.57142857142857
2026-06-30,BREAD-WHT,White Bread,84,150,34.0,0,3,Rainy,1,6,0,76.0,90.85714285714286
2026-07-01,BREAD-WHT,White Bread,111,150,34.0,1,3,Rainy,2,7,0,67.0,92.0
2026-07-02,BREAD-WHT,White Bread,97,150,34.0,0,3,Rainy,3,7,0,85.0,98.28571428571429
2026-07-03,BREAD-WHT,White Bread,97,150,34.0,0,3,Rainy,4,7,0,107.0,100.0
2026-07-04,BREAD-WHT,White Bread,116,150,34.0,0,3,Rainy,5,7,1,105.0,98.57142857142857
2026-07-05,BREAD-WHT,White Bread,115,150,34.0,0,3,Rainy,6,7,1,99.0,100.14285714285714
2026-07-06,BREAD-WHT,White Bread,106,150,34.0,0,3,Rainy,0,7,0,97.0,102.42857142857143
2026-07-07,BREAD-WHT,White Bread,97,150,34.0,0,3,Rainy,1,7,0,84.0,103.71428571428571
2026-07-08,BREAD-WHT,White Bread,110,150,34.0,0,3,Rainy,2,7,0,111.0,105.57142857142857
2026-07-09,BREAD-WHT,White Bread,116,150,34.0,0,3,Rainy,3,7,0,97.0,105.42857142857143
2026-07-10,BREAD-WHT,White Bread,98,150,34.0,0,3,Rainy,4,7,0,97.0,108.14285714285714
2026-07-11,BREAD-WHT,White Bread,112,150,34.0,0,3,Rainy,5,7,1,116.0,108.28571428571429
2026-07-12,BREAD-WHT,White Bread,129,150,34.0,0,3,Rainy,6,7,1,115.0,107.71428571428571
2026-07-13,BREAD-WHT,White Bread,106,150,34.0,0,3,Rainy,0,7,0,106.0,109.71428571428571
2026-07-14,BREAD-WHT,White Bread,118,150,34.0,0,3,Rainy,1,7,0,97.0,109.71428571428571
2026-07-15,BREAD-WHT,White Bread,125,150,34.0,1,3,Rainy,2,7,0,110.0,112.71428571428571
2026-07-16,BREAD-WHT,White Bread,119,150,34.0,0,3,Rainy,3,7,0,116.0,114.85714285714286
2026-07-17,BREAD-WHT,White Bread,110,150,34.0,0,3,Rainy,4,7,0,98.0,115.28571428571429
2026-07-18,BREAD-WHT,White Bread,125,150,34.0,0,3,Rainy,5,7,1,112.0,117.0
2026-07-19,BREAD-WHT,White Bread,134,150,34.0,0,3,Rainy,6,7,1,129.0,118.85714285714286
2026-07-20,BREAD-WHT,White Bread,107,150,34.0,0,3,Rainy,0,7,0,106.0,119.57142857142857
2026-07-21,BREAD-WHT,White Bread,103,150,34.0,0,3,Rainy,1,7,0,118.0,119.71428571428571
2026-07-22,BREAD-WHT,White Bread,107,150,34.0,0,3,Rainy,2,7,0,125.0,117.57142857142857
2026-07-23,BREAD-WHT,White Bread,113,150,34.0,0,3,Rainy,3,7,0,119.0,115.0
2026-07-24,BREAD-WHT,White Bread,98,150,34.0,0,3,Rainy,4,7,0,110.0,114.14285714285714
2026-07-25,BREAD-WHT,White Bread,126,150,34.0,0,3,Rainy,5,7,1,125.0,112.42857142857143
2026-07-26,BREAD-WHT,White Bread,117,150,34.0,0,3,Rainy,6,7,1,134.0,112.57142857142857
2026-07-27,BREAD-WHT,White Bread,116,150,34.0,0,3,Rainy,0,7,0,107.0,110.14285714285714
2026-07-28,BREAD-WHT,White Bread,90,150,34.0,0,3,Rainy,1,7,0,103.0,111.42857142857143
2026-07-29,BREAD-WHT,White Bread,101,150,34.0,0,3,Rainy,2,7,0,107.0,109.57142857142857
2026-01-31,CHIP-200,Potato Chips 200g,56,620,48.0,0,1,Clear,5,1,1,,
2026-02-01,CHIP-200,Potato Chips 200g,76,620,48.0,1,1,Clear,6,2,1,,
2026-02-02,CHIP-200,Potato Chips 200g,36,620,48.0,0,1,Clear,0,2,0,,
2026-02-03,CHIP-200,Potato Chips 200g,42,620,48.0,0,1,Clear,1,2,0,,56.0
2026-02-04,CHIP-200,Potato Chips 200g,47,620,48.0,0,1,Clear,2,2,0,,52.5
2026-02-05,CHIP-200,Potato Chips 200g,64,620,48.0,0,1,Clear,3,2,0,,51.4
2026-02-06,CHIP-200,Potato Chips 200g,57,620,48.0,0,1,Clear,4,2,0,,53.5
2026-02-07,CHIP-200,Potato Chips 200g,67,620,48.0,0,1,Clear,5,2,1,56.0,54.0
2026-02-08,CHIP-200,Potato Chips 200g,54,620,48.0,0,1,Clear,6,2,1,76.0,55.57142857142857
2026-02-09,CHIP-200,Potato Chips 200g,48,620,48.0,0,1,Clear,0,2,0,36.0,52.42857142857143
2026-02-10,CHIP-200,Potato Chips 200g,60,620,48.0,0,1,Clear,1,2,0,42.0,54.142857142857146
2026-02-11,CHIP-200,Potato Chips 200g,57,620,48.0,0,1,Clear,2,2,0,47.0,56.714285714285715
2026-02-12,CHIP-200,Potato Chips 200g,61,620,48.0,0,1,Clear,3,2,0,64.0,58.142857142857146
2026-02-13,CHIP-200,Potato Chips 200g,56,620,48.0,0,1,Clear,4,2,0,57.0,57.714285714285715
2026-02-14,CHIP-200,Potato Chips 200g,67,620,48.0,0,1,Clear,5,2,1,67.0,57.57142857142857
2026-02-15,CHIP-200,Potato Chips 200g,78,620,48.0,1,1,Clear,6,2,1,54.0,57.57142857142857
2026-02-16,CHIP-200,Potato Chips 200g,64,620,48.0,0,1,Clear,0,2,0,48.0,61.0
2026-02-17,CHIP-200,Potato Chips 200g,64,620,48.0,0,1,Clear,1,2,0,60.0,63.285714285714285
2026-02-18,CHIP-200,Potato Chips 200g,47,620,48.0,0,1,Clear,2,2,0,57.0,63.857142857142854
2026-02-19,CHIP-200,Potato Chips 200g,43,620,48.0,0,1,Clear,3,2,0,61.0,62.42857142857143
2026-02-20,CHIP-200,Potato Chips 200g,66,620,48.0,0,1,Clear,4,2,0,56.0,59.857142857142854
2026-02-21,CHIP-200,Potato Chips 200g,74,620,48.0,0,1,Clear,5,2,1,67.0,61.285714285714285
2026-02-22,CHIP-200,Potato Chips 200g,58,620,48.0,0,1,Clear,6,2,1,78.0,62.285714285714285
2026-02-23,CHIP-200,Potato Chips 200g,45,620,48.0,0,1,Clear,0,2,0,64.0,59.42857142857143
2026-02-24,CHIP-200,Potato Chips 200g,59,620,48.0,0,1,Clear,1,2,0,64.0,56.714285714285715
2026-02-25,CHIP-200,Potato Chips 200g,65,620,48.0,0,1,Clear,2,2,0,47.0,56.0
2026-02-26,CHIP-200,Potato Chips 200g,70,620,48.0,0,1,Clear,3,2,0,43.0,58.57142857142857
2026-02-27,CHIP-200,Potato Chips 200g,61,620,48.0,0,1,Clear,4,2,0,66.0,62.42857142857143
2026-02-28,CHIP-200,Potato Chips 200g,61,620,48.0,0,1,Clear,5,2,1,74.0,61.714285714285715
2026-03-01,CHIP-200,Potato Chips 200g,69,620,48.0,1,2,Clear,6,3,1,58.0,59.857142857142854
2026-03-02,CHIP-200,Potato Chips 200g,56,620,48.0,0,2,Clear,0,3,0,45.0,61.42857142857143
2026-03-03,CHIP-200,Potato Chips 200g,54,620,48.0,0,2,Clear,1,3,0,59.0,63.0
2026-03-04,CHIP-200,Potato Chips 200g,48,620,48.0,0,2,Clear,2,3,0,65.0,62.285714285714285
2026-03-05,CHIP-200,Potato Chips 200g,69,620,48.0,0,2,Clear,3,3,0,70.0,59.857142857142854
2026-03-06,CHIP-200,Potato Chips 200g,67,620,48.0,0,2,Clear,4,3,0,61.0,59.714285714285715
2026-03-07,CHIP-200,Potato Chips 200g,68,620,48.0,0,2,Clear,5,3,1,61.0,60.57142857142857
2026-03-08,CHIP-200,Potato Chips 200g,53,620,48.0,0,2,Clear,6,3,1,69.0,61.57142857142857
2026-03-09,CHIP-200,Potato Chips 200g,58,620,48.0,0,2,Clear,0,3,0,56.0,59.285714285714285
2026-03-10,CHIP-200,Potato Chips 200g,56,620,48.0,0,2,Clear,1,3,0,54.0,59.57142857142857
2026-03-11,CHIP-200,Potato Chips 200g,54,620,48.0,0,2,Clear,2,3,0,48.0,59.857142857142854
2026-03-12,CHIP-200,Potato Chips 200g,59,620,48.0,0,2,Clear,3,3,0,69.0,60.714285714285715
2026-03-13,CHIP-200,Potato Chips 200g,55,620,48.0,0,2,Clear,4,3,0,67.0,59.285714285714285
2026-03-14,CHIP-200,Potato Chips 200g,61,620,48.0,0,2,Clear,5,3,1,68.0,57.57142857142857
2026-03-15,CHIP-200,Potato Chips 200g,69,620,48.0,1,2,Clear,6,3,1,53.0,56.57142857142857
2026-03-16,CHIP-200,Potato Chips 200g,51,620,48.0,0,2,Clear,0,3,0,58.0,58.857142857142854
2026-03-17,CHIP-200,Potato Chips 200g,36,620,48.0,0,2,Clear,1,3,0,56.0,57.857142857142854
2026-03-18,CHIP-200,Potato Chips 200g,48,620,48.0,0,2,Clear,2,3,0,54.0,55.0
2026-03-19,CHIP-200,Potato Chips 200g,43,620,48.0,0,2,Clear,3,3,0,59.0,54.142857142857146
2026-03-20,CHIP-200,Potato Chips 200g,38,620,48.0,0,2,Clear,4,3,0,55.0,51.857142857142854
2026-03-21,CHIP-200,Potato Chips 200g,64,620,48.0,0,2,Clear,5,3,1,61.0,49.42857142857143
2026-03-22,CHIP-200,Potato Chips 200g,64,620,48.0,0,2,Clear,6,3,1,69.0,49.857142857142854
2026-03-23,CHIP-200,Potato Chips 200g,55,620,48.0,0,2,Clear,0,3,0,51.0,49.142857142857146
2026-03-24,CHIP-200,Potato Chips 200g,47,620,48.0,0,2,Clear,1,3,0,36.0,49.714285714285715
2026-03-25,CHIP-200,Potato Chips 200g,55,620,48.0,0,2,Clear,2,3,0,48.0,51.285714285714285
2026-03-26,CHIP-200,Potato Chips 200g,45,620,48.0,0,2,Clear,3,3,0,43.0,52.285714285714285
2026-03-27,CHIP-200,Potato Chips 200g,47,620,48.0,0,2,Clear,4,3,0,38.0,52.57142857142857
2026-03-28,CHIP-200,Potato Chips 200g,43,620,48.0,0,2,Clear,5,3,1,64.0,53.857142857142854
2026-03-29,CHIP-200,Potato Chips 200g,53,620,48.0,0,2,Clear,6,3,1,64.0,50.857142857142854
2026-03-30,CHIP-200,Potato Chips 200g,46,620,48.0,0,2,Clear,0,3,0,55.0,49.285714285714285
2026-03-31,CHIP-200,Potato Chips 200g,36,620,48.0,0,2,Clear,1,3,0,47.0,48.0
2026-04-01,CHIP-200,Potato Chips 200g,53,620,48.0,1,2,Clear,2,4,0,55.0,46.42857142857143
2026-04-02,CHIP-200,Potato Chips 200g,45,620,48.0,0,2,Clear,3,4,0,45.0,46.142857142857146
2026-04-03,CHIP-200,Potato Chips 200g,59,620,48.0,0,2,Clear,4,4,0,47.0,46.142857142857146
2026-04-04,CHIP-200,Potato Chips 200g,58,620,48.0,0,2,Clear,5,4,1,43.0,47.857142857142854
2026-04-05,CHIP-200,Potato Chips 200g,52,620,48.0,0,2,Clear,6,4,1,53.0,50.0
2026-04-06,CHIP-200,Potato Chips 200g,49,620,48.0,0,2,Clear,0,4,0,46.0,49.857142857142854
2026-04-07,CHIP-200,Potato Chips 200g,48,620,48.0,0,2,Clear,1,4,0,36.0,50.285714285714285
2026-04-08,CHIP-200,Potato Chips 200g,47,620,48.0,0,2,Clear,2,4,0,53.0,52.0
2026-04-09,CHIP-200,Potato Chips 200g,41,620,48.0,0,2,Clear,3,4,0,45.0,51.142857142857146
2026-04-10,CHIP-200,Potato Chips 200g,48,620,48.0,0,2,Clear,4,4,0,59.0,50.57142857142857
2026-04-11,CHIP-200,Potato Chips 200g,51,620,48.0,0,2,Clear,5,4,1,58.0,49.0
