sku,product,date,day_of_week,month,is_weekend,holiday,season,lag_7,rolling_mean_7,current_stock,predicted_demand
CHIP-200,Potato Chips 200g,2026-08-12,2,8,0,0,3,53.494952380952384,58.91126990311278,620,57
CHIP-200,Potato Chips 200g,2026-08-13,3,8,0,0,3,59.567328571428604,59.471401875901904,620,60
CHIP-200,Potato Chips 200g,2026-08-14,4,8,0,0,3,60.21015714285718,59.542615233972406,620,62
CHIP-200,Potato Chips 200g,2026-08-15,5,8,1,0,3,61.848884126984125,59.74388301381161,620,62
CHIP-200,Potato Chips 200g,2026-08-16,6,8,1,0,3,61.74217142857145,59.70562049062052,620,61
CHIP-200,Potato Chips 200g,2026-08-17,0,8,0,0,3,56.53358354978355,59.554057678829125,620,58
CHIP-200,Potato Chips 200g,2026-08-18,1,8,0,0,3,58.981812121212144,59.788565244279546,620,58
CHIP-200,Potato Chips 200g,2026-08-19,2,8,0,0,3,57.415876190476226,59.65354242424244,620,58
CHIP-200,Potato Chips 200g,2026-08-20,3,8,0,0,3,60.06582207792211,59.80135262832407,620,61
CHIP-200,Potato Chips 200g,2026-08-21,4,8,0,0,3,61.61903160173165,59.93935421562565,620,58
CHIP-200,Potato Chips 200g,2026-08-22,5,8,1,0,3,61.58104646464645,59.41412453102453,620,61
CHIP-200,Potato Chips 200g,2026-08-23,6,8,1,0,3,60.68123174603175,59.31722242836529,620,60
CHIP-200,Potato Chips 200g,2026-08-24,0,8,0,0,3,58.17513650793648,59.27859045557618,620,56
CHIP-200,Potato Chips 200g,2026-08-25,1,8,0,0,3,58.036652380952376,59.02944351680066,620,57
CHIP-200,Potato Chips 200g,2026-08-26,2,8,0,0,3,58.45054761904764,58.95171713048857,620,57
CHIP-200,Potato Chips 200g,2026-08-27,3,8,0,0,3,61.031833189033215,58.80458039579469,620,59
CHIP-200,Potato Chips 200g,2026-08-28,4,8,0,0,3,57.94242380952382,58.473233477633485,620,62
MILK-1L,Milk 1L,2026-07-30,3,7,0,0,3,141.0,152.0,420,146
MILK-1L,Milk 1L,2026-07-31,4,7,0,0,3,140.0,152.7031859410431,420,148
MILK-1L,Milk 1L,2026-08-01,5,8,1,0,3,167.0,153.78657233560094,420,168
MILK-1L,Milk 1L,2026-08-02,6,8,1,0,3,176.0,153.8961954648526,420,169
MILK-1L,Milk 1L,2026-08-03,0,8,0,0,3,148.0,152.9326294784581,420,146
MILK-1L,Milk 1L,2026-08-04,1,8,0,0,3,145.0,152.67408707482997,420,148
MILK-1L,Milk 1L,2026-08-05,2,8,0,0,3,147.0,153.1220204081633,420,146
MILK-1L,Milk 1L,2026-08-06,3,8,0,0,3,145.92230158730163,153.04886643990935,420,146
MILK-1L,Milk 1L,2026-08-07,4,8,0,0,3,147.58370476190478,153.07723968253973,420,146
MILK-1L,Milk 1L,2026-08-08,5,8,1,0,3,167.76736190476205,152.79702585034016,420,168
MILK-1L,Milk 1L,2026-08-09,6,8,1,0,3,169.2550380952382,152.77163537414972,420,171
MILK-1L,Milk 1L,2026-08-10,0,8,0,0,3,146.1902031746032,153.00729931972793,420,147
MILK-1L,Milk 1L,2026-08-11,1,8,0,0,3,148.13553333333337,153.08262199546493,420,147
MILK-1L,Milk 1L,2026-08-12,2,8,0,0,3,146.48792222222227,152.90303854875287,420,147
MILK-1L,Milk 1L,2026-08-13,3,8,0,0,3,146.1209142857143,152.96303129251706,420,146
MILK-1L,Milk 1L,2026-08-14,4,8,0,0,3,145.62220793650795,152.9587265306123,420,146
MILK-1L,Milk 1L,2026-08-15,5,8,1,0,3,167.5896285714287,153.053334920635,420,168
MILK-1L,Milk 1L,2026-08-16,6,8,1,0,3,170.90468571428582,153.053334920635,420,171
MILK-1L,Milk 1L,2026-08-17,0,8,0,0,3,146.71746190476193,153.0451444444445,420,146
MILK-1L,Milk 1L,2026-08-18,1,8,0,0,3,146.87844920634925,152.99394081632659,420,147
MILK-1L,Milk 1L,2026-08-19,2,8,0,0,3,146.90787142857147,153.0180598639456,420,146
MILK-1L,Milk 1L,2026-08-20,3,8,0,0,3,146.09078095238098,152.95806712018143,420,146
MILK-1L,Milk 1L,2026-08-21,4,8,0,0,3,146.28446666666667,152.95806712018148,420,146
MILK-1L,Milk 1L,2026-08-22,5,8,1,0,3,167.5896285714287,152.9537623582767,420,168
MILK-1L,Milk 1L,2026-08-23,6,8,1,0,3,170.8473523809525,152.9537623582767,420,171
MILK-1L,Milk 1L,2026-08-24,0,8,0,0,3,146.3590365079365,152.9537623582767,420,147
MILK-1L,Milk 1L,2026-08-25,1,8,0,0,3,147.04728253968258,153.0049659863946,420,147
MILK-1L,Milk 1L,2026-08-26,2,8,0,0,3,146.48792222222227,153.0052517006803,420,147
MILK-1L,Milk 1L,2026-08-27,3,8,0,0,3,146.09078095238098,153.06945532879823,420,146
MILK-1L,Milk 1L,2026-08-28,4,8,0,0,3,146.25433333333336,153.06945532879826,420,146
RICE-5K,Rice 5kg,2026-07-30,3,7,0,0,3,78.0,75.42857142857143,300,70
RICE-5K,Rice 5kg,2026-07-31,4,7,0,0,3,79.0,74.29923333333333,300,73
RICE-5K,Rice 5kg,2026-08-01,5,8,1,0,3,82.0,73.4996619047619,300,76
RICE-5K,Rice 5kg,2026-08-02,6,8,1,0,3,82.0,72.6262843537415,300,77
RICE-5K,Rice 5kg,2026-08-03,0,8,0,0,3,73.0,71.86831768707482,300,74
RICE-5K,Rice 5kg,2026-08-04,1,8,0,0,3,65.0,72.06787697540554,300,77
RICE-5K,Rice 5kg,2026-08-05,2,8,0,0,3,69.0,73.78764681667539,300,73
RICE-5K,Rice 5kg,2026-08-06,3,8,0,0,3,70.09463333333332,74.35002255363683,300,74
RICE-5K,Rice 5kg,2026-08-07,4,8,0,0,3,73.40299999999999,74.84577448107449,300,74
RICE-5K,Rice 5kg,2026-08-08,5,8,1,0,3,75.88635714285714,74.93006767835341,300,80
RICE-5K,Rice 5kg,2026-08-09,6,8,1,0,3,76.69423333333333,75.47609284842143,300,80
RICE-5K,Rice 5kg,2026-08-10,0,8,0,0,3,74.39691501831503,75.95342005930578,300,74
RICE-5K,Rice 5kg,2026-08-11,1,8,0,0,3,77.0383888888889,75.94211348334206,300,73
RICE-5K,Rice 5kg,2026-08-12,2,8,0,0,3,72.93663015873017,75.33204193267049,300,71
RICE-5K,Rice 5kg,2026-08-13,3,8,0,0,3,73.56489682539684,75.00402401883831,300,73
RICE-5K,Rice 5kg,2026-08-14,4,8,0,0,3,73.99305238095239,74.89628093493808,300,74
RICE-5K,Rice 5kg,2026-08-15,5,8,1,0,3,79.70853333333334,74.8924904587476,300,79
RICE-5K,Rice 5kg,2026-08-16,6,8,1,0,3,80.0355238095238,74.81954624106054,300,81
RICE-5K,Rice 5kg,2026-08-17,0,8,0,0,3,74.31776898656899,74.94407685330545,300,75
RICE-5K,Rice 5kg,2026-08-18,1,8,0,0,3,72.76788803418803,75.04955077620794,300,75
RICE-5K,Rice 5kg,2026-08-19,2,8,0,0,3,70.64050476190475,75.36791721611723,300,71
RICE-5K,Rice 5kg,2026-08-20,3,8,0,0,3,72.81069523809524,75.36488887144603,300,71
RICE-5K,Rice 5kg,2026-08-21,4,8,0,0,3,73.96651904761903,75.06659635443923,300,74
RICE-5K,Rice 5kg,2026-08-22,5,8,1,0,3,79.19792380952389,75.04792968777257,300,80
RICE-5K,Rice 5kg,2026-08-23,6,8,1,0,3,80.90723809523816,75.20027662654807,300,80
RICE-5K,Rice 5kg,2026-08-24,0,8,0,0,3,75.05608644688644,75.09609567416712,300,75
RICE-5K,Rice 5kg,2026-08-25,1,8,0,0,3,74.99645311355313,75.06960519797664,300,75
RICE-5K,Rice 5kg,2026-08-26,2,8,0,0,3,70.61930634920637,75.03926642246644,300,74
RICE-5K,Rice 5kg,2026-08-27,3,8,0,0,3,70.72264761904759,75.5132936333508,300,71
RICE-5K,Rice 5kg,2026-08-28,4,8,0,0,3,73.83585238095237,75.5614421594279,300,72
SHAM-400,Shampoo 400ml,2026-07-30,3,7,0,0,3,41.0,38.285714285714285,205,40
SHAM-400,Shampoo 400ml,2026-07-31,4,7,0,0,3,39.0,38.07824489795918,205,36
SHAM-400,Shampoo 400ml,2026-08-01,5,8,1,0,3,37.0,37.62360136054422,205,41
SHAM-400,Shampoo 400ml,2026-08-02,6,8,1,0,3,35.0,38.203024489795915,205,40
SHAM-400,Shampoo 400ml,2026-08-03,0,8,0,0,3,45.0,38.8906,205,39
SHAM-400,Shampoo 400ml,2026-08-04,1,8,0,0,3,38.0,38.09359274376418,205,40
SHAM-400,Shampoo 400ml,2026-08-05,2,8,0,0,3,33.0,38.342125396825395,205,41
SHAM-400,Shampoo 400ml,2026-08-06,3,8,0,0,3,39.547714285714285,39.422754875283445,205,38
SHAM-400,Shampoo 400ml,2026-08-07,4,8,0,0,3,35.81749523809525,39.24594263038549,205,40
SHAM-400,Shampoo 400ml,2026-08-08,5,8,1,0,3,41.0559619047619,39.80941020408164,205,44
SHAM-400,Shampoo 400ml,2026-08-09,6,8,1,0,3,39.81302857142856,40.26861564625851,205,42
SHAM-400,Shampoo 400ml,2026-08-10,0,8,0,0,3,39.42094920634921,40.59111088435374,205,37
SHAM-400,Shampoo 400ml,2026-08-11,1,8,0,0,3,39.7397285714286,40.19875215419501,205,38
SHAM-400,Shampoo 400ml,2026-08-12,2,8,0,0,3,40.564406349206344,40.00967573696145,205,38
SHAM-400,Shampoo 400ml,2026-08-13,3,8,0,0,3,38.31002857142856,39.58231859410431,205,38
SHAM-400,Shampoo 400ml,2026-08-14,4,8,0,0,3,39.76176825396827,39.564168253968255,205,35
SHAM-400,Shampoo 400ml,2026-08-15,5,8,1,0,3,44.2704,38.940354421768696,205,41
SHAM-400,Shampoo 400ml,2026-08-16,6,8,1,0,3,42.07049523809522,38.51748231292517,205,43
SHAM-400,Shampoo 400ml,2026-08-17,0,8,0,0,3,36.67443809523809,38.66227074829932,205,40
SHAM-400,Shampoo 400ml,2026-08-18,1,8,0,0,3,38.416193650793645,39.0973142857143,205,41
SHAM-400,Shampoo 400ml,2026-08-19,2,8,0,0,3,37.57290634920635,39.508026984127,205,39
SHAM-400,Shampoo 400ml,2026-08-20,3,8,0,0,3,38.18297619047619,39.70631451247167,205,38
SHAM-400,Shampoo 400ml,2026-08-21,4,8,0,0,3,35.395071428571434,39.66225328798187,205,37
SHAM-400,Shampoo 400ml,2026-08-22,5,8,1,0,3,41.31029523809526,39.89138480725625,205,45
SHAM-400,Shampoo 400ml,2026-08-23,6,8,1,0,3,43.08401428571432,40.45672630385489,205,43
SHAM-400,Shampoo 400ml,2026-08-24,0,8,0,0,3,39.71974285714288,40.4306426303855,205,38
SHAM-400,Shampoo 400ml,2026-08-25,1,8,0,0,3,41.291182539682566,40.237802267573706,205,38
SHAM-400,Shampoo 400ml,2026-08-26,2,8,0,0,3,38.96091904761905,39.83693083900227,205,35
SHAM-400,Shampoo 400ml,2026-08-27,3,8,0,0,3,37.874547619047625,39.30898752834467,205,39
SHAM-400,Shampoo 400ml,2026-08-28,4,8,0,0,3,36.99899206349208,39.44923446712018,205,38
