date,sku,product,quantity_sold,current_stock,price,holiday,season,weather
2026-03-05,MILK-1L,Milk 1L,123,420,42.0,0,2,Clear
2026-03-06,MILK-1L,Milk 1L,132,420,42.0,0,2,Clear
2026-03-07,MILK-1L,Milk 1L,149,420,42.0,0,2,Clear
2026-03-08,MILK-1L,Milk 1L,139,420,42.0,0,2,Clear
2026-03-09,MILK-1L,Milk 1L,118,420,42.0,0,2,Clear
2026-03-10,MILK-1L,Milk 1L,116,420,42.0,0,2,Clear
2026-03-11,MILK-1L,Milk 1L,125,420,42.0,0,2,Clear
2026-03-12,MILK-1L,Milk 1L,125,420,42.0,0,2,Clear
2026-03-13,MILK-1L,Milk 1L,122,420,42.0,0,2,Clear
2026-03-14,MILK-1L,Milk 1L,126,420,42.0,0,2,Clear
2026-03-15,MILK-1L,Milk 1L,154,420,42.0,1,2,Clear
2026-03-16,MILK-1L,Milk 1L,115,420,42.0,0,2,Clear
2026-03-17,MILK-1L,Milk 1L,115,420,42.0,0,2,Clear
2026-03-18,MILK-1L,Milk 1L,118,420,42.0,0,2,Clear
2026-03-19,MILK-1L,Milk 1L,113,420,42.0,0,2,Clear
2026-03-20,MILK-1L,Milk 1L,115,420,42.0,0,2,Clear
2026-03-21,MILK-1L,Milk 1L,123,420,42.0,0,2,Clear
2026-03-22,MILK-1L,Milk 1L,124,420,42.0,0,2,Clear
2026-03-23,MILK-1L,Milk 1L,112,420,42.0,0,2,Clear
2026-03-24,MILK-1L,Milk 1L,97,420,42.0,0,2,Clear
2026-03-25,MILK-1L,Milk 1L,105,420,42.0,0,2,Clear
2026-03-26,MILK-1L,Milk 1L,103,420,42.0,0,2,Clear
2026-03-27,MILK-1L,Milk 1L,102,420,42.0,0,2,Clear
2026-03-28,MILK-1L,Milk 1L,117,420,42.0,0,2,Clear
2026-03-29,MILK-1L,Milk 1L,130,420,42.0,0,2,Clear
2026-03-30,MILK-1L,Milk 1L,101,420,42.0,0,2,Clear
2026-03-31,MILK-1L,Milk 1L,114,420,42.0,0,2,Clear
2026-04-01,MILK-1L,Milk 1L,115,420,42.0,1,2,Clear
2026-04-02,MILK-1L,Milk 1L,106,420,42.0,0,2,Clear
2026-04-03,MILK-1L,Milk 1L,110,420,42.0,0,2,Clear
2026-04-04,MILK-1L,Milk 1L,126,420,42.0,0,2,Clear
2026-04-05,MILK-1L,Milk 1L,128,420,42.0,0,2,Clear
2026-04-06,MILK-1L,Milk 1L,117,420,42.0,0,2,Clear
2026-04-07,MILK-1L,Milk 1L,110,420,42.0,0,2,Clear
2026-04-08,MILK-1L,Milk 1L,110,420,42.0,0,2,Clear
2026-04-09,MILK-1L,Milk 1L,120,420,42.0,0,2,Clear
2026-04-10,MILK-1L,Milk 1L,114,420,42.0,0,2,Clear
2026-04-11,MILK-1L,Milk 1L,122,420,42.0,0,2,Clear
2026-04-12,MILK-1L,Milk 1L,125,420,42.0,0,2,Clear
2026-04-13,MILK-1L,Milk 1L,113,420,42.0,0,2,Clear
2026-04-14,MILK-1L,Milk 1L,125,420,42.0,0,2,Clear
2026-04-15,MILK-1L,Milk 1L,146,420,42.0,1,2,Clear
2026-04-16,MILK-1L,Milk 1L,129,420,42.0,0,2,Clear
2026-04-17,MILK-1L,Milk 1L,123,420,42.0,0,2,Clear
2026-04-18,MILK-1L,Milk 1L,144,420,42.0,0,2,Clear
2026-04-19,MILK-1L,Milk 1L,149,420,42.0,0,2,Clear
2026-04-20,MILK-1L,Milk 1L,128,420,42.0,0,2,Clear
2026-04-21,MILK-1L,Milk 1L,135,420,42.0,0,2,Clear
2026-04-22,MILK-1L,Milk 1L,129,420,42.0,0,2,Clear
2026-04-23,MILK-1L,Milk 1L,132,420,42.0,0,2,Clear
2026-04-24,MILK-1L,Milk 1L,133,420,42.0,0,2,Clear
2026-04-25,MILK-1L,Milk 1L,145,420,42.0,0,2,Clear
2026-04-26,MILK-1L,Milk 1L,158,420,42.0,0,2,Clear
2026-04-27,MILK-1L,Milk 1L,136,420,42.0,0,2,Clear
2026-04-28,MILK-1L,Milk 1L,140,420,42.0,0,2,Clear
2026-04-29,MILK-1L,Milk 1L,145,420,42.0,0,2,Clear
2026-04-30,MILK-1L,Milk 1L,145,420,42.0,0,2,Clear
2026-05-01,MILK-1L,Milk 1L,173,420,42.0,1,2,Clear
2026-05-02,MILK-1L,Milk 1L,160,420,42.0,0,2,Clear
2026-05-03,MILK-1L,Milk 1L,158,420,42.0,0,2,Clear
2026-05-04,MILK-1L,Milk 1L,143,420,42.0,0,2,Clear
2026-05-05,MILK-1L,Milk 1L,132,420,42.0,0,2,Clear
2026-05-06,MILK-1L,Milk 1L,134,420,42.0,0,2,Clear
2026-05-07,MILK-1L,Milk 1L,135,420,42.0,0,2,Clear
2026-05-08,MILK-1L,Milk 1L,137,420,42.0,0,2,Clear
2026-05-09,MILK-1L,Milk 1L,163,420,42.0,0,2,Clear
2026-05-10,MILK-1L,Milk 1L,154,420,42.0,0,2,Clear
2026-05-11,MILK-1L,Milk 1L,140,420,42.0,0,2,Clear
2026-05-12,MILK-1L,Milk 1L,151,420,42.0,0,2,Clear
2026-05-13,MILK-1L,Milk 1L,138,420,42.0,0,2,Clear
2026-05-14,MILK-1L,Milk 1L,145,420,42.0,0,2,Clear
2026-05-15,MILK-1L,Milk 1L,158,420,42.0,1,2,Clear
2026-05-16,MILK-1L,Milk 1L,153,420,42.0,0,2,Clear
2026-05-17,MILK-1L,Milk 1L,147,420,42.0,0,2,Clear
2026-05-18,MILK-1L,Milk 1L,133,420,42.0,0,2,Clear
2026-05-19,MILK-1L,Milk 1L,140,420,42.0,0,2,Clear
2026-05-20,MILK-1L,Milk 1L,121,420,42.0,0,2,Clear
2026-05-21,MILK-1L,Milk 1L,135,420,42.0,0,2,Clear
2026-05-22,MILK-1L,Milk 1L,132,420,42.0,0,2,Clear
2026-05-23,MILK-1L,Milk 1L,140,420,42.0,0,2,Clear
2026-05-24,MILK-1L,Milk 1L,133,420,42.0,0,2,Clear
2026-05-25,MILK-1L,Milk 1L,127,420,42.0,0,2,Clear
2026-05-26,MILK-1L,Milk 1L,121,420,42.0,0,2,Clear
2026-05-27,MILK-1L,Milk 1L,125,420,42.0,0,2,Clear
2026-05-28,MILK-1L,Milk 1L,122,420,42.0,0,2,Clear
2026-05-29,MILK-1L,Milk 1L,132,420,42.0,0,2,Clear
2026-05-30,MILK-1L,Milk 1L,132,420,42.0,0,2,Clear
2026-05-31,MILK-1L,Milk 1L,125,420,42.0,0,2,Clear
2026-06-01,MILK-1L,Milk 1L,139,420,42.0,1,3,Rainy
2026-06-02,MILK-1L,Milk 1L,118,420,42.0,0,3,Rainy
2026-06-03,MILK-1L,Milk 1L,125,420,42.0,0,3,Rainy
2026-06-04,MILK-1L,Milk 1L,120,420,42.0,0,3,Rainy
2026-06-05,MILK-1L,Milk 1L,116,420,42.0,0,3,Rainy
2026-06-06,MILK-1L,Milk 1L,136,420,42.0,0,3,Rainy
2026-06-07,MILK-1L,Milk 1L,117,420,42.0,0,3,Rainy
2026-06-08,MILK-1L,Milk 1L,107,420,42.0,0,3,Rainy
2026-06-09,MILK-1L,Milk 1L,105,420,42.0,0,3,Rainy
2026-06-10,MILK-1L,Milk 1L,108,420,42.0,0,3,Rainy
2026-06-11,MILK-1L,Milk 1L,101,420,42.0,0,3,Rainy
2026-06-12,MILK-1L,Milk 1L,115,420,42.0,0,3,Rainy
2026-06-13,MILK-1L,Milk 1L,123,420,42.0,0,3,Rainy
2026-06-14,MILK-1L,Milk 1L,114,420,42.0,0,3,Rainy
2026-06-15,MILK-1L,Milk 1L,124,420,42.0,1,3,Rainy
2026-06-16,MILK-1L,Milk 1L,114,420,42.0,0,3,Rainy
2026-06-17,MILK-1L,Milk 1L,119,420,42.0,0,3,Rainy
2026-06-18,MILK-1L,Milk 1L,127,420,42.0,0,3,Rainy
2026-06-19,MILK-1L,Milk 1L,135,420,42.0,0,3,Rainy
2026-06-20,MILK-1L,Milk 1L,132,420,42.0,0,3,Rainy
2026-06-21,MILK-1L,Milk 1L,123,420,42.0,0,3,Rainy
2026-06-22,MILK-1L,Milk 1L,102,420,42.0,0,3,Rainy
2026-06-23,MILK-1L,Milk 1L,120,420,42.0,0,3,Rainy
2026-06-24,MILK-1L,Milk 1L,114,420,42.0,0,3,Rainy
2026-06-25,MILK-1L,Milk 1L,118,420,42.0,0,3,Rainy
2026-06-26,MILK-1L,Milk 1L,118,420,42.0,0,3,Rainy
2026-06-27,MILK-1L,Milk 1L,138,420,42.0,0,3,Rainy
2026-06-28,MILK-1L,Milk 1L,148,420,42.0,0,3,Rainy
2026-06-29,MILK-1L,Milk 1L,128,420,42.0,0,3,Rainy
2026-06-30,MILK-1L,Milk 1L,128,420,42.0,0,3,Rainy
2026-07-01,MILK-1L,Milk 1L,147,420,42.0,1,3,Rainy
2026-07-02,MILK-1L,Milk 1L,120,420,42.0,0,3,Rainy
2026-07-03,MILK-1L,Milk 1L,130,420,42.0,0,3,Rainy
2026-07-04,MILK-1L,Milk 1L,151,420,42.0,0,3,Rainy
2026-07-05,MILK-1L,Milk 1L,165,420,42.0,0,3,Rainy
2026-07-06,MILK-1L,Milk 1L,139,420,42.0,0,3,Rainy
2026-07-07,MILK-1L,Milk 1L,146,420,42.0,0,3,Rainy
2026-07-08,MILK-1L,Milk 1L,137,420,42.0,0,3,Rainy
2026-07-09,MILK-1L,Milk 1L,134,420,42.0,0,3,Rainy
2026-07-10,MILK-1L,Milk 1L,137,420,42.0,0,3,Rainy
2026-07-11,MILK-1L,Milk 1L,157,420,42.0,0,3,Rainy
2026-07-12,MILK-1L,Milk 1L,178,420,42.0,0,3,Rainy
2026-07-13,MILK-1L,Milk 1L,141,420,42.0,0,3,Rainy
2026-07-14,MILK-1L,Milk 1L,153,420,42.0,0,3,Rainy
2026-07-15,MILK-1L,Milk 1L,168,420,42.0,1,3,Rainy
2026-07-16,MILK-1L,Milk 1L,155,420,42.0,0,3,Rainy
2026-07-17,MILK-1L,Milk 1L,152,420,42.0,0,3,Rainy
2026-07-18,MILK-1L,Milk 1L,166,420,42.0,0,3,Rainy
2026-07-19,MILK-1L,Milk 1L,167,420,42.0,0,3,Rainy
2026-07-20,MILK-1L,Milk 1L,145,420,42.0,0,3,Rainy
2026-07-21,MILK-1L,Milk 1L,153,420,42.0,0,3,Rainy
2026-07-22,MILK-1L,Milk 1L,146,420,42.0,0,3,Rainy
2026-07-23,MILK-1L,Milk 1L,141,420,42.0,0,3,Rainy
2026-07-24,MILK-1L,Milk 1L,140,420,42.0,0,3,Rainy
2026-07-25,MILK-1L,Milk 1L,167,420,42.0,0,3,Rainy
2026-07-26,MILK-1L,Milk 1L,176,420,42.0,0,3,Rainy
2026-07-27,MILK-1L,Milk 1L,148,420,42.0,0,3,Rainy
2026-07-28,MILK-1L,Milk 1L,145,420,42.0,0,3,Rainy
2026-07-29,MILK-1L,Milk 1L,147,420,42.0,0,3,Rainy
2026-01-31,RICE-5K,Rice 5kg,74,300,360.0,0,1,Clear
2026-02-01,RICE-5K,Rice 5kg,79,300,360.0,1,1,Clear
2026-02-02,RICE-5K,Rice 5kg,57,300,360.0,0,1,Clear
2026-02-03,RICE-5K,Rice 5kg,68,300,360.0,0,1,Clear
2026-02-04,RICE-5K,Rice 5kg,64,300,360.0,0,1,Clear
2026-02-05,RICE-5K,Rice 5kg,72,300,360.0,0,1,Clear
2026-02-06,RICE-5K,Rice 5kg,63,300,360.0,0,1,Clear
2026-02-07,RICE-5K,Rice 5kg,62,300,360.0,0,1,Clear
2026-02-08,RICE-5K,Rice 5kg,61,300,360.0,0,1,Clear
2026-02-09,RICE-5K,Rice 5kg,75,300,360.0,0,1,Clear
2026-02-10,RICE-5K,Rice 5kg,76,300,360.0,0,1,Clear
2026-02-11,RICE-5K,Rice 5kg,64,300,360.0,0,1,Clear
2026-02-12,RICE-5K,Rice 5kg,63,300,360.0,0,1,Clear
2026-02-13,RICE-5K,Rice 5kg,76,300,360.0,0,1,Clear
2026-02-14,RICE-5K,Rice 5kg,66,300,360.0,0,1,Clear
2026-02-15,RICE-5K,Rice 5kg,81,300,360.0,1,1,Clear
2026-02-16,RICE-5K,Rice 5kg,71,300,360.0,0,1,Clear
2026-02-17,RICE-5K,Rice 5kg,64,300,360.0,0,1,Clear
2026-02-18,RICE-5K,Rice 5kg,67,300,360.0,0,1,Clear
2026-02-19,RICE-5K,Rice 5kg,66,300,360.0,0,1,Clear
2026-02-20,RICE-5K,Rice 5kg,69,300,360.0,0,1,Clear
2026-02-21,RICE-5K,Rice 5kg,85,300,360.0,0,1,Clear
2026-02-22,RICE-5K,Rice 5kg,75,300,360.0,0,1,Clear
2026-02-23,RICE-5K,Rice 5kg,71,300,360.0,0,1,Clear
2026-02-24,RICE-5K,Rice 5kg,52,300,360.0,0,1,Clear
2026-02-25,RICE-5K,Rice 5kg,66,300,360.0,0,1,Clear
2026-02-26,RICE-5K,Rice 5kg,60,300,360.0,0,1,Clear
2026-02-27,RICE-5K,Rice 5kg,57,300,360.0,0,1,Clear
2026-02-28,RICE-5K,Rice 5kg,67,300,360.0,0,1,Clear
2026-03-01,RICE-5K,Rice 5kg,83,300,360.0,1,2,Clear
2026-03-02,RICE-5K,Rice 5kg,70,300,360.0,0,2,Clear
2026-03-03,RICE-5K,Rice 5kg,54,300,360.0,0,2,Clear
2026-03-04,RICE-5K,Rice 5kg,63,300,360.0,0,2,Clear
2026-03-05,RICE-5K,Rice 5kg,59,300,360.0,0,2,Clear
2026-03-06,RICE-5K,Rice 5kg,59,300,360.0,0,2,Clear
2026-03-07,RICE-5K,Rice 5kg,75,300,360.0,0,2,Clear
2026-03-08,RICE-5K,Rice 5kg,71,300,360.0,0,2,Clear
2026-03-09,RICE-5K,Rice 5kg,69,300,360.0,0,2,Clear
2026-03-10,RICE-5K,Rice 5kg,58,300,360.0,0,2,Clear
2026-03-11,RICE-5K,Rice 5kg,53,300,360.0,0,2,Clear
2026-03-12,RICE-5K,Rice 5kg,56,300,360.0,0,2,Clear
2026-03-13,RICE-5K,Rice 5kg,59,300,360.0,0,2,Clear
2026-03-14,RICE-5K,Rice 5kg,64,300,360.0,0,2,Clear
2026-03-15,RICE-5K,Rice 5kg,66,300,360.0,1,2,Clear
2026-03-16,RICE-5K,Rice 5kg,56,300,360.0,0,2,Clear
2026-03-17,RICE-5K,Rice 5kg,56,300,360.0,0,2,Clear
2026-03-18,RICE-5K,Rice 5kg,72,300,360.0,0,2,Clear
2026-03-19,RICE-5K,Rice 5kg,67,300,360.0,0,2,Clear
2026-03-20,RICE-5K,Rice 5kg,47,300,360.0,0,2,Clear
2026-03-21,RICE-5K,Rice 5kg,57,300,360.0,0,2,Clear
2026-03-22,RICE-5K,Rice 5kg,49,300,360.0,0,2,Clear
2026-03-23,RICE-5K,Rice 5kg,48,300,360.0,0,2,Clear
2026-03-24,RICE-5K,Rice 5kg,54,300,360.0,0,2,Clear
2026-03-25,RICE-5K,Rice 5kg,60,300,360.0,0,2,Clear
2026-03-26,RICE-5K,Rice 5kg,46,300,360.0,0,2,Clear
2026-03-27,RICE-5K,Rice 5kg,47,300,360.0,0,2,Clear
2026-03-28,RICE-5K,Rice 5kg,43,300,360.0,0,2,Clear
2026-03-29,RICE-5K,Rice 5kg,57,300,360.0,0,2,Clear
2026-03-30,RICE-5K,Rice 5kg,44,300,360.0,0,2,Clear
2026-03-31,RICE-5K,Rice 5kg,48,300,360.0,0,2,Clear
2026-04-01,RICE-5K,Rice 5kg,55,300,360.0,1,2,Clear
2026-04-02,RICE-5K,Rice 5kg,51,300,360.0,0,2,Clear
2026-04-03,RICE-5K,Rice 5kg,40,300,360.0,0,2,Clear
2026-04-04,RICE-5K,Rice 5kg,49,300,360.0,0,2,Clear
2026-04-05,RICE-5K,Rice 5kg,75,300,360.0,0,2,Clear
2026-04-06,RICE-5K,Rice 5kg,45,300,360.0,0,2,Clear
2026-04-07,RICE-5K,Rice 5kg,47,300,360.0,0,2,Clear
2026-04-08,RICE-5K,Rice 5kg,68,300,360.0,0,2,Clear
2026-04-09,RICE-5K,Rice 5kg,76,300,360.0,0,2,Clear
2026-04-10,RICE-5K,Rice 5kg,48,300,360.0,0,2,Clear
2026-04-11,RICE-5K,Rice 5kg,61,300,360.0,0,2,Clear
2026-04-12,RICE-5K,Rice 5kg,67,300,360.0,0,2,Clear
2026-04-13,RICE-5K,Rice 5kg,70,300,360.0,0,2,Clear
2026-04-14,RICE-5K,Rice 5kg,52,300,360.0,0,2,Clear
2026-04-15,RICE-5K,Rice 5kg,68,300,360.0,1,2,Clear
2026-04-16,RICE-5K,Rice 5kg,66,300,360.0,0,2,Clear
2026-04-17,RICE-5K,Rice 5kg,64,300,360.0,0,2,Clear
2026-04-18,RICE-5K,Rice 5kg,66,300,360.0,0,2,Clear
2026-04-19,RICE-5K,Rice 5kg,69,300,360.0,0,2,Clear
2026-04-20,RICE-5K,Rice 5kg,53,300,360.0,0,2,Clear
2026-04-21,RICE-5K,Rice 5kg,62,300,360.0,0,2,Clear
2026-04-22,RICE-5K,Rice 5kg,63,300,360.0,0,2,Clear
2026-04-23,RICE-5K,Rice 5kg,67,300,360.0,0,2,Clear
2026-04-24,RICE-5K,Rice 5kg,62,300,360.0,0,2,Clear
2026-04-25,RICE-5K,Rice 5kg,78,300,360.0,0,2,Clear
2026-04-26,RICE-5K,Rice 5kg,82,300,360.0,0,2,Clear
2026-04-27,RICE-5K,Rice 5kg,68,300,360.0,0,2,Clear
2026-04-28,RICE-5K,Rice 5kg,70,300,360.0,0,2,Clear
2026-04-29,RICE-5K,Rice 5kg,69,300,360.0,0,2,Clear
2026-04-30,RICE-5K,Rice 5kg,69,300,360.0,0,2,Clear
2026-05-01,RICE-5K,Rice 5kg,76,300,360.0,1,2,Clear
2026-05-02,RICE-5K,Rice 5kg,80,300,360.0,0,2,Clear
2026-05-03,RICE-5K,Rice 5kg,77,300,360.0,0,2,Clear
2026-05-04,RICE-5K,Rice 5kg,84,300,360.0,0,2,Clear
2026-05-05,RICE-5K,Rice 5kg,81,300,360.0,0,2,Clear
2026-05-06,RICE-5K,Rice 5kg,72,300,360.0,0,2,Clear
2026-05-07,RICE-5K,Rice 5kg,64,300,360.0,0,2,Clear
2026-05-08,RICE-5K,Rice 5kg,62,300,360.0,0,2,Clear
2026-05-09,RICE-5K,Rice 5kg,86,300,360.0,0,2,Clear
2026-05-10,RICE-5K,Rice 5kg,79,300,360.0,0,2,Clear
2026-05-11,RICE-5K,Rice 5kg,72,300,360.0,0,2,Clear
2026-05-12,RICE-5K,Rice 5kg,56,300,360.0,0,2,Clear
2026-05-13,RICE-5K,Rice 5kg,75,300,360.0,0,2,Clear
2026-05-14,RICE-5K,Rice 5kg,71,300,360.0,0,2,Clear
2026-05-15,RICE-5K,Rice 5kg,72,300,360.0,1,2,Clear
2026-05-16,RICE-5K,Rice 5kg,71,300,360.0,0,2,Clear
2026-05-17,RICE-5K,Rice 5kg,76,300,360.0,0,2,Clear
2026-05-18,RICE-5K,Rice 5kg,66,300,360.0,0,2,Clear
2026-05-19,RICE-5K,Rice 5kg,63,300,360.0,0,2,Clear
2026-05-20,RICE-5K,Rice 5kg,64,300,360.0,0,2,Clear
2026-05-21,RICE-5K,Rice 5kg,62,300,360.0,0,2,Clear
2026-05-22,RICE-5K,Rice 5kg,64,300,360.0,0,2,Clear
2026-05-23,RICE-5K,Rice 5kg,80,300,360.0,0,2,Clear
2026-05-24,RICE-5K,Rice 5kg,51,300,360.0,0,2,Clear
2026-05-25,RICE-5K,Rice 5kg,59,300,360.0,0,2,Clear
2026-05-26,RICE-5K,Rice 5kg,62,300,360.0,0,2,Clear
2026-05-27,RICE-5K,Rice 5kg,62,300,360.0,0,2,Clear
2026-05-28,RICE-5K,Rice 5kg,56,300,360.0,0,2,Clear
2026-05-29,RICE-5K,Rice 5kg,46,300,360.0,0,2,Clear
2026-05-30,RICE-5K,Rice 5kg,67,300,360.0,0,2,Clear
2026-05-31,RICE-5K,Rice 5kg,76,300,360.0,0,2,Clear
2026-06-01,RICE-5K,Rice 5kg,56,300,360.0,1,3,Rainy
2026-06-02,RICE-5K,Rice 5kg,62,300,360.0,0,3,Rainy
2026-06-03,RICE-5K,Rice 5kg,53,300,360.0,0,3,Rainy
2026-06-04,RICE-5K,Rice 5kg,55,300,360.0,0,3,Rainy
2026-06-05,RICE-5K,Rice 5kg,47,300,360.0,0,3,Rainy
2026-06-06,RICE-5K,Rice 5kg,59,300,360.0,0,3,Rainy
2026-06-07,RICE-5K,Rice 5kg,70,300,360.0,0,3,Rainy
2026-06-08,RICE-5K,Rice 5kg,58,300,360.0,0,3,Rainy
2026-06-09,RICE-5K,Rice 5kg,66,300,360.0,0,3,Rainy
2026-06-10,RICE-5K,Rice 5kg,62,300,360.0,0,3,Rainy
2026-06-11,RICE-5K,Rice 5kg,57,300,360.0,0,3,Rainy
2026-06-12,RICE-5K,Rice 5kg,66,300,360.0,0,3,Rainy
2026-06-13,RICE-5K,Rice 5kg,63,300,360.0,0,3,Rainy
2026-06-14,RICE-5K,Rice 5kg,66,300,360.0,0,3,Rainy
2026-06-15,RICE-5K,Rice 5kg,62,300,360.0,1,3,Rainy
2026-06-16,RICE-5K,Rice 5kg,55,300,360.0,0,3,Rainy
2026-06-17,RICE-5K,Rice 5kg,50,300,360.0,0,3,Rainy
2026-06-18,RICE-5K,Rice 5kg,62,300,360.0,0,3,Rainy
2026-06-19,RICE-5K,Rice 5kg,47,300,360.0,0,3,Rainy
2026-06-20,RICE-5K,Rice 5kg,68,300,360.0,0,3,Rainy
2026-06-21,RICE-5K,Rice 5kg,62,300,360.0,0,3,Rainy
2026-06-22,RICE-5K,Rice 5kg,65,300,360.0,0,3,Rainy
2026-06-23,RICE-5K,Rice 5kg,63,300,360.0,0,3,Rainy
2026-06-24,RICE-5K,Rice 5kg,71,300,360.0,0,3,Rainy
2026-06-25,RICE-5K,Rice 5kg,64,300,360.0,0,3,Rainy
2026-06-26,RICE-5K,Rice 5kg,48,300,360.0,0,3,Rainy
2026-06-27,RICE-5K,Rice 5kg,67,300,360.0,0,3,Rainy
2026-06-28,RICE-5K,Rice 5kg,60,300,360.0,0,3,Rainy
2026-06-29,RICE-5K,Rice 5kg,58,300,360.0,0,3,Rainy
2026-06-30,RICE-5K,Rice 5kg,73,300,360.0,0,3,Rainy
2026-07-01,RICE-5K,Rice 5kg,79,300,360.0,1,3,Rainy
2026-07-02,RICE-5K,Rice 5kg,59,300,360.0,0,3,Rainy
2026-07-03,RICE-5K,Rice 5kg,57,300,360.0,0,3,Rainy
2026-07-04,RICE-5K,Rice 5kg,73,300,360.0,0,3,Rainy
2026-07-05,RICE-5K,Rice 5kg,65,300,360.0,0,3,Rainy
2026-07-06,RICE-5K,Rice 5kg,62,300,360.0,0,3,Rainy
2026-07-07,RICE-5K,Rice 5kg,70,300,360.0,0,3,Rainy
2026-07-08,RICE-5K,Rice 5kg,76,300,360.0,0,3,Rainy
2026-07-09,RICE-5K,Rice 5kg,73,300,360.0,0,3,Rainy
2026-07-10,RICE-5K,Rice 5kg,53,300,360.0,0,3,Rainy
2026-07-11,RICE-5K,Rice 5kg,80,300,360.0,0,3,Rainy
2026-07-12,RICE-5K,Rice 5kg,79,300,360.0,0,3,Rainy
2026-07-13,RICE-5K,Rice 5kg,74,300,360.0,0,3,Rainy
2026-07-14,RICE-5K,Rice 5kg,82,300,360.0,0,3,Rainy
2026-07-15,RICE-5K,Rice 5kg,70,300,360.0,1,3,Rainy
2026-07-16,RICE-5K,Rice 5kg,68,300,360.0,0,3,Rainy
2026-07-17,RICE-5K,Rice 5kg,76,300,360.0,0,3,Rainy
2026-07-18,RICE-5K,Rice 5kg,70,300,360.0,0,3,Rainy
2026-07-19,RICE-5K,Rice 5kg,91,300,360.0,0,3,Rainy
2026-07-20,RICE-5K,Rice 5kg,75,300,360.0,0,3,Rainy
2026-07-21,RICE-5K,Rice 5kg,78,300,360.0,0,3,Rainy
2026-07-22,RICE-5K,Rice 5kg,68,300,360.0,0,3,Rainy
2026-07-23,RICE-5K,Rice 5kg,78,300,360.0,0,3,Rainy
2026-07-24,RICE-5K,Rice 5kg,79,300,360.0,0,3,Rainy
2026-07-25,RICE-5K,Rice 5kg,82,300,360.0,0,3,Rainy
2026-07-26,RICE-5K,Rice 5kg,82,300,360.0,0,3,Rainy
2026-07-27,RICE-5K,Rice 5kg,73,300,360.0,0,3,Rainy
2026-07-28,RICE-5K,Rice 5kg,65,300,360.0,0,3,Rainy
2026-07-29,RICE-5K,Rice 5kg,69,300,360.0,0,3,Rainy
2026-01-31,BREAD-WHT,White Bread,97,150,34.0,0,1,Clear
2026-02-01,BREAD-WHT,White Bread,120,150,34.0,1,1,Clear
2026-02-02,BREAD-WHT,White Bread,97,150,34.0,0,1,Clear
2026-02-03,BREAD-WHT,White Bread,84,150,34.0,0,1,Clear
2026-02-04,BREAD-WHT,White Bread,91,150,34.0,0,1,Clear
2026-02-05,BREAD-WHT,White Bread,104,150,34.0,0,1,Clear
2026-02-06,BREAD-WHT,White Bread,89,150,34.0,0,1,Clear
2026-02-07,BREAD-WHT,White Bread,101,150,34.0,0,1,Clear
