date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2026-06-28,RICE-5K,903,0,10,754
2026-07-01,RICE-5K,725,696,10,754
2026-07-04,RICE-5K,1263,0,10,754
2026-07-07,RICE-5K,1068,0,10,754
2026-07-10,RICE-5K,908,0,10,754
2026-07-13,RICE-5K,1410,0,10,754
2026-07-16,RICE-5K,1212,0,10,754
2026-07-19,RICE-5K,1012,0,10,754
2026-07-22,RICE-5K,814,0,10,754
2026-07-25,RICE-5K,623,696,10,754
2026-07-28,RICE-5K,407,696,10,754
2026-07-31,RICE-5K,217,696,10,754
2026-08-03,RICE-5K,637,696,10,754
2026-08-06,RICE-5K,433,696,10,754
2026-08-09,RICE-5K,206,696,10,754
2026-02-13,BREAD-WHT,793,0,5,704
2026-02-16,BREAD-WHT,451,1056,5,704
2026-02-19,BREAD-WHT,1226,0,5,704
2026-02-22,BREAD-WHT,895,0,5,704
2026-02-25,BREAD-WHT,591,1056,5,704
2026-02-28,BREAD-WHT,1319,0,5,704
2026-03-03,BREAD-WHT,957,0,5,704
2026-03-06,BREAD-WHT,651,1056,5,704
2026-03-09,BREAD-WHT,331,1056,5,704
2026-03-12,BREAD-WHT,1092,0,5,704
2026-03-15,BREAD-WHT,747,0,5,704
2026-03-18,BREAD-WHT,466,1056,5,704
2026-03-21,BREAD-WHT,1232,0,5,704
2026-03-24,BREAD-WHT,941,0,5,704
2026-03-27,BREAD-WHT,682,1056,5,704
2026-03-30,BREAD-WHT,1456,0,5,704
2026-04-02,BREAD-WHT,1186,0,5,704
2026-04-05,BREAD-WHT,945,0,5,704
2026-04-08,BREAD-WHT,717,0,5,704
2026-04-11,BREAD-WHT,1524,0,5,704
2026-04-14,BREAD-WHT,1264,0,5,704
2026-04-17,BREAD-WHT,1011,0,5,704
2026-04-20,BREAD-WHT,743,0,5,704
2026-04-23,BREAD-WHT,496,1056,5,704
2026-04-26,BREAD-WHT,1268,0,5,704
2026-04-29,BREAD-WHT,1016,0,5,704
2026-05-02,BREAD-WHT,705,0,5,704
2026-05-05,BREAD-WHT,1451,0,5,704
2026-05-08,BREAD-WHT,1159,0,5,704
2026-05-11,BREAD-WHT,828,0,5,704
2026-05-14,BREAD-WHT,1580,0,5,704
2026-05-17,BREAD-WHT,1166,0,5,704
2026-05-20,BREAD-WHT,858,0,5,704
2026-05-23,BREAD-WHT,550,1056,5,704
2026-05-26,BREAD-WHT,1290,0,5,704
2026-05-29,BREAD-WHT,1019,0,5,704
2026-06-01,BREAD-WHT,637,1056,5,704
2026-06-04,BREAD-WHT,1425,0,5,704
2026-06-07,BREAD-WHT,1119,0,5,704
2026-06-10,BREAD-WHT,867,0,5,704
2026-06-13,BREAD-WHT,1653,0,5,704
2026-06-16,BREAD-WHT,1339,0,5,704
2026-06-19,BREAD-WHT,1111,0,5,704
2026-06-22,BREAD-WHT,847,0,5,704
2026-06-25,BREAD-WHT,614,1056,5,704
2026-06-28,BREAD-WHT,1404,0,5,704
2026-07-01,BREAD-WHT,1158,0,5,704
2026-07-04,BREAD-WHT,910,0,5,704
2026-07-07,BREAD-WHT,668,1056,5,704
2026-07-10,BREAD-WHT,1463,0,5,704
2026-07-13,BREAD-WHT,1175,0,5,704
2026-07-16,BREAD-WHT,866,0,5,704
2026-07-19,BREAD-WHT,1596,0,5,704
2026-07-22,BREAD-WHT,1302,0,5,704
2026-07-25,BREAD-WHT,1001,0,5,704
2026-07-28,BREAD-WHT,1725,0,5,704
2026-07-31,BREAD-WHT,1416,0,5,704
2026-08-03,BREAD-WHT,1015,0,5,704
2026-08-06,BREAD-WHT,723,0,5,704
2026-08-09,BREAD-WHT,1434,0,5,704
2026-02-13,SHAM-400,305,0,5,264
2026-02-16,SHAM-400,182,396,5,264
2026-02-19,SHAM-400,475,0,5,264
2026-02-22,SHAM-400,349,0,5,264
2026-02-25,SHAM-400,234,396,5,264
2026-02-28,SHAM-400,506,0,5,264
2026-03-03,SHAM-400,385,0,5,264
2026-03-06,SHAM-400,276,0,5,264
2026-03-09,SHAM-400,146,396,5,264
2026-03-12,SHAM-400,432,0,5,264
2026-03-15,SHAM-400,300,0,5,264
2026-03-18,SHAM-400,199,396,5,264
2026-03-21,SHAM-400,489,0,5,264
2026-03-24,SHAM-400,373,0,5,264
2026-03-27,SHAM-400,297,0,5,264
2026-03-30,SHAM-400,580,0,5,264
2026-04-02,SHAM-400,485,0,5,264
2026-04-05,SHAM-400,383,0,5,264
2026-04-08,SHAM-400,303,0,5,264
2026-04-11,SHAM-400,215,396,5,264
2026-04-14,SHAM-400,521,0,5,264
2026-04-17,SHAM-400,421,0,5,264
2026-04-20,SHAM-400,315,0,5,264
2026-04-23,SHAM-400,228,396,5,264
2026-04-26,SHAM-400,527,0,5,264
2026-04-29,SHAM-400,439,0,5,264
2026-05-02,SHAM-400,316,0,5,264
2026-05-05,SHAM-400,591,0,5,264
2026-05-08,SHAM-400,483,0,5,264
2026-05-11,SHAM-400,355,0,5,264
2026-05-14,SHAM-400,649,0,5,264
2026-05-17,SHAM-400,501,0,5,264
2026-05-20,SHAM-400,392,0,5,264
2026-05-23,SHAM-400,276,0,5,264
2026-05-26,SHAM-400,543,0,5,264
2026-05-29,SHAM-400,437,0,5,264
2026-06-01,SHAM-400,304,0,5,264
2026-06-04,SHAM-400,591,0,5,264
2026-06-07,SHAM-400,472,0,5,264
2026-06-10,SHAM-400,378,0,5,264
2026-06-13,SHAM-400,286,0,5,264
2026-06-16,SHAM-400,178,396,5,264
2026-06-19,SHAM-400,503,0,5,264
2026-06-22,SHAM-400,417,0,5,264
2026-06-25,SHAM-400,330,0,5,264
2026-06-28,SHAM-400,629,0,5,264
2026-07-01,SHAM-400,512,0,5,264
2026-07-04,SHAM-400,415,0,5,264
2026-07-07,SHAM-400,313,0,5,264
2026-07-10,SHAM-400,211,396,5,264
2026-07-13,SHAM-400,499,0,5,264
2026-07-16,SHAM-400,390,0,5,264
2026-07-19,SHAM-400,290,0,5,264
2026-07-22,SHAM-400,194,396,5,264
2026-07-25,SHAM-400,477,0,5,264
2026-07-28,SHAM-400,354,0,5,264
2026-07-31,SHAM-400,245,396,5,264
2026-08-03,SHAM-400,485,0,5,264
2026-08-06,SHAM-400,380,0,5,264
2026-08-09,SHAM-400,263,396,5,264
2026-02-13,CHIP-200,459,0,5,408
2026-02-16,CHIP-200,276,612,5,408
2026-02-19,CHIP-200,722,0,5,408
2026-02-22,CHIP-200,539,0,5,408
2026-02-25,CHIP-200,363,612,5,408
2026-02-28,CHIP-200,795,0,5,408
2026-03-03,CHIP-200,583,0,5,408
2026-03-06,CHIP-200,409,0,5,408
2026-03-09,CHIP-200,224,612,5,408
2026-03-12,CHIP-200,649,0,5,408
2026-03-15,CHIP-200,446,0,5,408
2026-03-18,CHIP-200,280,612,5,408
2026-03-21,CHIP-200,718,0,5,408
2026-03-24,CHIP-200,540,0,5,408
2026-03-27,CHIP-200,380,612,5,408
2026-03-30,CHIP-200,833,0,5,408
2026-04-02,CHIP-200,682,0,5,408
2026-04-05,CHIP-200,503,0,5,408
2026-04-08,CHIP-200,362,612,5,408
2026-04-11,CHIP-200,840,0,5,408
2026-04-14,CHIP-200,701,0,5,408
2026-04-17,CHIP-200,533,0,5,408
2026-04-20,CHIP-200,375,612,5,408
2026-04-23,CHIP-200,242,612,5,408
2026-04-26,CHIP-200,695,0,5,408
2026-04-29,CHIP-200,552,0,5,408
2026-05-02,CHIP-200,350,612,5,408
2026-05-05,CHIP-200,794,0,5,408
2026-05-08,CHIP-200,619,0,5,408
2026-05-11,CHIP-200,426,0,5,408
2026-05-14,CHIP-200,866,0,5,408
2026-05-17,CHIP-200,644,0,5,408
2026-05-20,CHIP-200,473,0,5,408
2026-05-23,CHIP-200,296,612,5,408
2026-05-26,CHIP-200,720,0,5,408
2026-05-29,CHIP-200,571,0,5,408
2026-06-01,CHIP-200,352,612,5,408
2026-06-04,CHIP-200,809,0,5,408
2026-06-07,CHIP-200,645,0,5,408
2026-06-10,CHIP-200,496,0,5,408
2026-06-13,CHIP-200,943,0,5,408
2026-06-16,CHIP-200,759,0,5,408
2026-06-19,CHIP-200,605,0,5,408
2026-06-22,CHIP-200,447,0,5,408
2026-06-25,CHIP-200,928,0,5,408
2026-06-28,CHIP-200,775,0,5,408
2026-07-01,CHIP-200,626,0,5,408
2026-07-04,CHIP-200,494,0,5,408
2026-07-07,CHIP-200,342,612,5,408
2026-07-10,CHIP-200,813,0,5,408
2026-07-13,CHIP-200,643,0,5,408
2026-07-16,CHIP-200,464,0,5,408
2026-07-19,CHIP-200,912,0,5,408
2026-07-22,CHIP-200,749,0,5,408
2026-07-25,CHIP-200,573,0,5,408
2026-07-28,CHIP-200,1004,0,5,408
2026-07-31,CHIP-200,838,0,5,408
2026-08-03,CHIP-200,622,0,5,408
2026-08-06,CHIP-200,452,0,5,408
2026-08-09,CHIP-200,869,0,5,408
